user_id,name,email,product,category,price,quantity,payment_method,location,timestamp,device,is_returning_customer,delivery_days,satisfaction_score,employee_id,employee_name,total_price
9fe2a3e4-235e-4427-b13f-5befc46f5775,William Lawrence,michaelyoung@example.com,Cap,Clothing,49.26,1,Bitcoin,Jacobport,2025-06-13T00:43:33,Mobile,True,4,2,42,Sean Johnson,49.26
2169e854-3607-47c8-a9f4-a1ca718dd61b,Meredith Beard,joseph33@example.org,Cap,Clothing,33.53,3,Bitcoin,South Edwinhaven,2022-01-30T07:02:29,Mobile,False,4,2,41,Samuel Mcdonald,100.59
cc9356c3-5913-4d1b-b7cc-ef34913a2d24,Richard Richard,michellelewis@example.net,Remote Control Car,Toys,76.01,2,Credit Card,North Dana,2024-07-08T08:28:49,Shop,False,4,1,35,Rodney Wade,152.02
95f854b3-0f0e-438f-bc7c-96745151bbde,Tina Johnson,kempnicole@example.org,Smartwatch,Electronics,60.71,4,Credit Card,South Stevenmouth,2024-08-22T11:52:18,Shop,False,4,3,31,Travis Rocha,242.84
219c026a-75f3-432e-8b98-62487e4e0a2b,John Lewis,hhubbard@example.org,Board Game,Toys,92.59,3,PayPal,Darrenfort,2022-12-19T14:38:26,Web,False,2,3,12,Michelle Becker,277.77
be5c7b7b-9ca5-4970-87de-bdc11f031829,Lawrence Clements,foxrichard@example.org,Running Shoes,Sports,80.97,3,Credit Card,West Jessica,2021-06-17T20:26:00,Mobile,False,3,1,25,Jennifer Griffith,242.91
d1ae36ae-4721-4ba0-b0d4-46290bcd1607,Samuel Cortez,reedmonica@example.org,Cap,Clothing,72.13,3,Debit Card,Lake Jacobburgh,2020-12-20T23:47:39,Mobile,False,8,3,23,Joshua Hansen,216.39
50f7efda-751b-4d5b-9650-41cff4294dd3,Benjamin Matthews,murphymichael@example.net,Remote Control Car,Toys,10.38,3,PayPal,New William,2024-08-04T21:57:02,Web,True,1,1,27,Adam Pierce,31.14
bcad01f4-4aaf-48d2-82a8-d225f4adf045,Sharon Wright,kathryn86@example.org,Cycling Helmet,Sports,83.87,1,PayPal,Jeffreyfurt,2024-12-22T01:55:22,Shop,False,2,5,20,Julie Jackson,83.87
83bb6c73-e6bd-4b8e-a98a-0883c4c9dc5d,Trevor Andersen,amoore@example.org,Scarf,Clothing,91.28,1,Credit Card,Longview,2022-02-28T18:19:40,Shop,False,4,3,32,Amy Price,91.28
